PNOME,QTDE,PERC
FAGNER,94,0.0146
LEONEL,94,0.0146
GLAUCIO,94,0.0146
THOMAS,94,0.0146
SYLVIA,94,0.0146
MAYCON,94,0.0146
BENEDITA,93,0.0144
GISLENE,93,0.0144
BRAULIO,93,0.0144
CLEUSA,93,0.0144
MAGALI,93,0.0144
LEVI,93,0.0144
DECIO,93,0.0144
DARLAN,93,0.0144
ESTHER,92,0.0143
ALUISIO,92,0.0143
OLAVO,92,0.0143
ANDREI,91,0.0141
ALCIONE,91,0.0141
JACIARA,91,0.0141
MANOELA,91,0.0141
JUSCELINO,90,0.0139
IVANETE,90,0.0139
WALMIR,90,0.0139
ROSEMEIRE,90,0.0139
THAMIRES,90,0.0139
ALEXANDRO,90,0.0139
LAILA,90,0.0139
GABRIELE,90,0.0139
JOSILENE,90,0.0139
ALUIZIO,90,0.0139
ZELIA,89,0.0138
BERNADETE,89,0.0138
DAMIAO,89,0.0138
UBIRATAN,89,0.0138
DALTON,89,0.0138
POLLYANNA,89,0.0138
BETANIA,89,0.0138
WENDEL,89,0.0138
OMAR,89,0.0138
LEA,88,0.0136
NIVIA,88,0.0136
CHRISTIANO,88,0.0136
EDIMAR,87,0.0135
JESSE,87,0.0135
CLEVERSON,87,0.0135
ARIEL,87,0.0135
ROSIMEIRE,87,0.0135
MARCILENE,87,0.0135
DIONE,87,0.0135
NELIO,86,0.0133
DIMAS,86,0.0133
IURI,86,0.0133
ADOLFO,86,0.0133
FRANCIELLE,86,0.0133
PERICLES,86,0.0133
ATILA,86,0.0133
EUCLIDES,86,0.0133
RAYANE,86,0.0133
ELIEL,85,0.0132
ILMA,85,0.0132
MIRELLA,85,0.0132
GRAZIELE,85,0.0132
SAMIR,85,0.0132
DIVINO,85,0.0132
KELLEN,85,0.0132
GEOVANE,84,0.0130
LANA,84,0.0130
JUNIOR,84,0.0130
INACIO,84,0.0130
POLLYANA,84,0.0130
ELVIS,84,0.0130
AROLDO,84,0.0130
GREICE,84,0.0130
FABIA,84,0.0130
ELISEU,83,0.0129
GLEICE,83,0.0129
NAIR,83,0.0129
DALILA,83,0.0129
JOSELIA,83,0.0129
VALDECIR,83,0.0129
THAISE,83,0.0129
MAYSA,82,0.0127
BERENICE,82,0.0127
FELLIPE,82,0.0127
ROQUE,82,0.0127
WANIA,82,0.0127
FELIX,82,0.0127
EVERSON,82,0.0127
VALDEMAR,82,0.0127
VIRGILIO,82,0.0127
WELINGTON,82,0.0127
NEIVA,81,0.0125
JURACI,81,0.0125
ODAIR,81,0.0125
ANGELITA,81,0.0125
MAURILIO,81,0.0125
GRACE,81,0.0125
CLODOALDO,81,0.0125
AGOSTINHO,81,0.0125
SUZANE,81,0.0125
WALDEMAR,80,0.0124
POLYANA,80,0.0124
ELANE,80,0.0124
ANDREZZA,80,0.0124
SILMARA,80,0.0124
ODILON,80,0.0124
GIL,80,0.0124
DENIZE,80,0.0124
ALZIRA,80,0.0124
NEILA,80,0.0124
LUCIMARA,80,0.0124
GENIVALDO,80,0.0124
AMAURY,79,0.0122
NIVEA,79,0.0122
LEANDRA,79,0.0122
EUDES,79,0.0122
KAMILLA,79,0.0122
JUNIA,79,0.0122
EDGARD,78,0.0121
KARIN,78,0.0121
ROSALIA,78,0.0121
LICIA,78,0.0121
NICOLAS,77,0.0119
SHEYLA,77,0.0119
WLADIMIR,77,0.0119
ZILDA,77,0.0119
FRANCIS,77,0.0119
ADAUTO,77,0.0119
ROGERIA,77,0.0119
LUDMILLA,77,0.0119
IZABELLA,77,0.0119
CINARA,77,0.0119
HIGOR,76,0.0118
LISANDRA,76,0.0118
ARLENE,76,0.0118
RONAN,76,0.0118
SAMIA,75,0.0116
EMILY,75,0.0116
CLAUDEMIR,75,0.0116
ADAILTON,75,0.0116
STELA,75,0.0116
JENNIFER,75,0.0116
DIRCE,75,0.0116
HELENO,74,0.0115
IRACI,74,0.0115
WALBER,74,0.0115
NILDA,74,0.0115
AGENOR,74,0.0115
DARLENE,74,0.0115
AMARO,74,0.0115
MARIVALDO,74,0.0115
ADELIA,74,0.0115
DAISY,74,0.0115
VALERIO,74,0.0115
GERALDA,73,0.0113
FRANCIANE,73,0.0113
RUAN,73,0.0113
DARCI,73,0.0113
ERIK,73,0.0113
APARECIDO,73,0.0113
IVALDO,73,0.0113
NESTOR,73,0.0113
ODETE,73,0.0113
LINDALVA,72,0.0112
SALVADOR,72,0.0112
LUCINEIDE,72,0.0112
WENDELL,72,0.0112
PAMELLA,72,0.0112
TALES,72,0.0112
CANDIDA,72,0.0112
ELIDA,72,0.0112
JEANNE,72,0.0112
MAXWELL,72,0.0112
RAPHAELA,72,0.0112
NELMA,72,0.0112
AMERICO,71,0.0110
EDIMILSON,71,0.0110
IRINEU,71,0.0110
EMANUELA,71,0.0110
LUCI,71,0.0110
ROMARIO,71,0.0110
DURVAL,70,0.0108
HERCULES,70,0.0108
CLEYTON,70,0.0108
SAMANTA,70,0.0108
LAERTE,70,0.0108
IRAN,70,0.0108
NANCY,70,0.0108
ROSIMAR,69,0.0107
HOMERO,69,0.0107
KEYLA,69,0.0107
ROSINEIDE,69,0.0107
GRACIELA,69,0.0107
ISAC,69,0.0107
EUGENIA,69,0.0107
MANUELLA,69,0.0107
SYLVIO,69,0.0107
GRAZIELLE,69,0.0107
REBECCA,69,0.0107
LEOPOLDO,69,0.0107
STENIO,69,0.0107
ABRAAO,68,0.0105
SIRLENE,68,0.0105
LAISE,68,0.0105
ESDRAS,68,0.0105
MARILZA,68,0.0105
ROSALINA,68,0.0105
ESTEVAO,68,0.0105
ROSELY,68,0.0105
LUCINEIA,68,0.0105
MAGNA,67,0.0104
GIVALDO,67,0.0104
HEBER,67,0.0104
ANIBAL,67,0.0104
ARIANA,67,0.0104
GUTEMBERG,67,0.0104
ENEIDA,67,0.0104
JAYME,67,0.0104
JOSELITO,67,0.0104
CHRISTINA,67,0.0104
RODOLPHO,66,0.0102
OCTAVIO,66,0.0102
SIRLEI,66,0.0102
TONY,66,0.0102
JANDIRA,66,0.0102
LARYSSA,66,0.0102
AFRANIO,66,0.0102
RIVALDO,66,0.0102
JONATHAS,66,0.0102
CRISTOVAO,65,0.0101
LOURENCO,65,0.0101
JUREMA,65,0.0101
JAMILLE,65,0.0101
ROMERO,65,0.0101
JESSIKA,65,0.0101
ARISTIDES,65,0.0101
DORIS,65,0.0101
MARIANNE,65,0.0101
GERMANA,65,0.0101
IZAIAS,65,0.0101
ROBERVAL,65,0.0101
FRANCILENE,64,0.0099
ROMEU,64,0.0099
ELIO,64,0.0099
NORBERTO,64,0.0099
LEILANE,64,0.0099
GILDA,64,0.0099
CLARISSE,64,0.0099
JADSON,64,0.0099
IVANI,64,0.0099
BARTOLOMEU,64,0.0099
MICHELLY,64,0.0099
SEVERINA,64,0.0099
TAMIRIS,63,0.0098
MARCELE,63,0.0098
ANANDA,63,0.0098
THYAGO,63,0.0098
ERASMO,63,0.0098
GIULIA,63,0.0098
NINA,63,0.0098
VALDIRENE,63,0.0098
NATHALIE,63,0.0098
FRANCIELI,63,0.0098
GLENDA,63,0.0098
EXPEDITO,63,0.0098
THAINA,63,0.0098
NOEMI,62,0.0096
MARINETE,62,0.0096
MIRNA,62,0.0096
GIULIANA,62,0.0096
EDINA,62,0.0096
ELINE,62,0.0096
JOSENILDO,62,0.0096
HELENICE,62,0.0096
GENIVAL,62,0.0096
DIVA,62,0.0096
ADAIR,62,0.0096
SALETE,62,0.0096
ELISETE,62,0.0096
GESSICA,62,0.0096
